item_description,price,quantity,invoice_number,customer_number,contractor,client_name,tax_rate,document_description,item_code,details,document_id
Basic Fee wmView,130.0,1,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Basis fee for additional user accounts,10.0,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Basic Fee wmPos,50.0,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Basic Fee wmGuide,1000.0,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Change of user accounts,10.0,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee T1,0.58,14,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee T2,0.7,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee T3,1.5,162,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee T4,0.5,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee T5,0.8,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee T6,1.8,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee G1,0.3,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee G2,0.3,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee G3,0.4,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee G4,0.4,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee G5,0.3,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
Transaction Fee G6,0.3,0,123100401,12345,CPB Software (Germany) GmbH,Stefanie Müller,0.19,Invoice WMACCESS Internet,nan,,2
